text,clean text
ร่กรม[ ใหญ่],ร่กรม[ ใหญ่]
si,si
wv,wv
นำแข็ง[ใหญ่],นำแข็ง[ใหญ่]
ไฮเนเก้น,ไฮเนเก้น
ข้าวฝัดกุง,ข้าวฝัดกุง
 omelette with cheese & cris_, omelette with cheese & cris_
 yum crispy catfish, yum crispy catfish
1 thai fried egg,1 thai fried egg
ก๊วยเตียวต้มยาทรังเครื่องทะเล,ก๊วยเตียวต้มยาทรังเครื่องทะเล
ข้าวฝัดนำพริกปลาสลิด-ฝุงแม่,ข้าวฝัดนำพริกปลาสลิด-ฝุงแม่
aspicy minced pork in south.,aspicy minced pork in south.
 water, water
beer singha,beer singha
pork cube,pork cube
iced,iced
 cresppinc, cresppinc
milk,milk
iced lime juice,iced lime juice
 audrey cream of mushroomn, audrey cream of mushroomn
thai tea,thai tea
 cake, cake
 milo, milo
inrerotic,inrerotic
icie. csizxingcreamn,icie. csizxingcreamn
ฟับฟิมกรอบ,ฟับฟิมกรอบ
ทับทิมกรอบ,ทับทิมกรอบ
1. ทงคดฝึราเมน (xl),1. ทงคดฝึราเมน (xl)
2. ฟันตันเมน (xl),2. ฟันตันเมน (xl)
ชาจีน refill,ชาจีน refill
(เdน),(เdน)
ชาจีน refill,ชาจีน refill
(ร้อน),(ร้อน)
bv americano-8,bv americano-8
ob-16 fichocolate,ob-16 fichocolate
สกดบาทนา,สกดบาทนา
เฟม ฟกทอง,เฟม ฟกทอง
มาแร,มาแร
ยูใหล,ยูใหล
ปาเปล่าไทก,ปาเปล่าไทก
น้าแปง,น้าแปง
(lm)l สสดุสานคาเพอ,(lm)l สสดุสานคาเพอ
ภายนยนาเา,ภายนยนาเา
128.,128.
(tพ)ข้าวหน้า ยำปูอัดแซลมอน.,(tพ)ข้าวหน้า ยำปูอัดแซลมอน.
ntw)m สลัดกะเพร้าอกไก่,ntw)m สลัดกะเพร้าอกไก่
(tw)m การเด้นสลัด,(tw)m การเด้นสลัด
ว99,ว99
มอำโมรมาเพสม,มอำโมรมาเพสม
มคาแซลมอนะมุพเฟติยาค,มคาแซลมอนะมุพเฟติยาค
สมงะมฟเฟศนา^,สมงะมฟเฟศนา^
นำเอมา(refll),นำเอมา(refll)
แปน,แปน
 creentea, creentea
เห้ดเอริง์-มฟเฟต์นาค,เห้ดเอริง์-มฟเฟต์นาค
ปลาขาบ*- มฟเฟตบา^,ปลาขาบ*- มฟเฟตบา^
วบอส ฺหมุสันคอ-บฟเฟต์นาคํ,วบอส ฺหมุสันคอ-บฟเฟต์นาคํ
ใสครอกรมควัน- มฟเฟต์บาค,ใสครอกรมควัน- มฟเฟต์บาค
3เกส้,3เกส้
ขาวกระ,ขาวกระ
.ทิมมะมฟเฟต์บาค,.ทิมมะมฟเฟต์บาค
6ขอส ฺหมเบคอน-บฟเฟตนาค,6ขอส ฺหมเบคอน-บฟเฟตนาค
เซอสเนือธรรมดา-บุฟเฟต์บาก,เซอสเนือธรรมดา-บุฟเฟต์บาก
 ฝักกาดทอม-บฟเฟต์ยาค, ฝักกาดทอม-บฟเฟต์ยาค
ขุปเฟ็ดเข็มทอง-บฟเฟต์บาค,ขุปเฟ็ดเข็มทอง-บฟเฟต์บาค
กัวแดงเฝ็น(3),กัวแดงเฝ็น(3)
โกไก'ปแ],โกไก'ปแ]
แมชมหูเบน],แมชมหูเบน]
แทงไมปัน,แทงไมปัน
แคนสาอุปเน,แคนสาอุปเน
ไำฝน[_),ไำฝน[_)
ม่าเบ่ง[ไทเ,ม่าเบ่ง[ไทเ
ชามมเฝีม่ราดาปกม),ชามมเฝีม่ราดาปกม)
ฝาาชมสปชาร,ฝาาชมสปชาร
ทกสมนา,ทกสมนา
นกเคลไท,นกเคลไท
รชืา,รชืา
หมูทอดงา,หมูทอดงา
แกงแคไก่,แกงแคไก่
 ตำเฮือนลำพูน, ตำเฮือนลำพูน
ข้าวกันจิ๋น,ข้าวกันจิ๋น
ข้าวคลุกงา,ข้าวคลุกงา
นำดื่ม,นำดื่ม
แข็งแก้ว,แข็งแก้ว
pro choc ring+strawstrlpe,pro choc ring+strawstrlpe
5999170 ikea drinking,5999170 ikea drinking
599914578 add. in chicken,599914578 add. in chicken
599914577 add- on 5 veg di,599914577 add- on 5 veg di
599912001 251|88,599912001 251|88
 598714034 baked, 598714034 baked
ธนเก๊กรว140,ธนเก๊กรว140
กำเหา่างไาหามือค์,กำเหา่างไาหามือค์
พุหาทิพฺทกาทร์ก,พุหาทิพฺทกาทร์ก
กรัมลาบน้ำปไแซ.ซี,กรัมลาบน้ำปไแซ.ซี
เอ่มเก็นเก๊กยวฬ40,เอ่มเก็นเก๊กยวฬ40
กีปต้นไอซ์ทีเอมฮน,กีปต้นไอซ์ทีเอมฮน
น่ำด์มหาสต้าไ.5จัด,น่ำด์มหาสต้าไ.5จัด
ชานมอัสสัม +,ชานมอัสสัม +
 (m (line)), (m (line))
ระดับความหวาน:,ระดับความหวาน:
ทวาน 25%,ทวาน 25%
 topping max 4:, topping max 4:
โมง,โมง
2 ชานมอัสสัม +,2 ชานมอัสสัม +
ไปมุกโมง (m(line),ไปมุกโมง (m(line)
ระดับความหวาน:,ระดับความหวาน:
หวาน 50%,หวาน 50%
 topping max 4:, topping max 4:
โมง,โมง
 topping max 4:, topping max 4:
ทนีบบราวน์ชุการ์,ทนีบบราวน์ชุการ์
ไขมุกโมง,ไขมุกโมง
ไปมุก,ไปมุก
ไปมุก,ไปมุก
 อาหาร-เครื่องดื่ม, อาหาร-เครื่องดื่ม
ยาาันเสนไขม:ดูมกุงสด,ยาาันเสนไขม:ดูมกุงสด
ก่วยเดียานำตมมาสโขทยไยม:ตูม 278.00,ก่วยเดียานำตมมาสโขทยไยม:ตูม 278.00
เสนทมีเทลือง,เสนทมีเทลือง
ก่ายเดียาตัมยาหมูมะนาวใสตาลึง,ก่ายเดียาตัมยาหมูมะนาวใสตาลึง
นา,นา
เฝ้นท์แ]เทลือง,เฝ้นท์แ]เทลือง
foie6rs sushi,foie6rs sushi
 foiegras sushi frfe, foiegras sushi frfe
anurisa iranfaiehlesni,anurisa iranfaiehlesni
 forecras manco sushi, forecras manco sushi
2foiegras mango sush.: frge,2foiegras mango sush.: frge
water,water
 unag| sush| 40%, unag| sush| 40%
salmon tor0 fole,salmon tor0 fole
salmon sashimi pr,salmon sashimi pr
salmon cheese rc,salmon cheese rc
hotate top un/ lini,hotate top un/ lini
 hamachi sashim|, hamachi sashim|
hotate menta/ sus,hotate menta/ sus
ขยายไก,ขยายไก
 ragular l, ragular l
แขลมอบรมคาบ,แขลมอบรมคาบ
เปาอนารอบ,เปาอนารอบ
มะาอกดา,มะาอกดา
หาเมยาบปร,หาเมยาบปร
สูปารคลิงฺฟรคค,สูปารคลิงฺฟรคค
ป้ายอปป้ราม,ป้ายอปป้ราม
l สลัดยาทูน่า,l สลัดยาทูน่า
-12.50,-12.50
 kimchi noodle, kimchi noodle
 kimchi noodle, kimchi noodle
 not add on, not add on
 bonchon thighs, bonchon thighs
thigh,thigh
soy,soy
calle,calle
thighe (s),thighe (s)
rice,rice
tw)aoncnon,tw)aoncnon
thiana,thiana
ia,ia
atw)rhign,atw)rhign
^,^
(7ข),(7ข)
.อ๖,.อ๖
(tw)rice,(tw)rice
 gyoza, gyoza
 gyoza, gyoza
 garlic (g), garlic (g)
mill je,mill je
] atorofinhitsue,] atorofinhitsue
 salhun maljini ail, salhun maljini ail
diie0 sushi p,diie0 sushi p
eitana sush.!,eitana sush.!
liagi sush.!,liagi sush.!
pro,pro
foie frus sushi frd,foie frus sushi frd
saln!/ saahii[ po,saln!/ saahii[ po
rice,rice
hater,hater
มาขาเขนาม:,มาขาเขนาม:
ฆชาร สสด,ฆชาร สสด
m ศลตอกไท,m ศลตอกไท
มาคคอโรฟกคเคมอน,มาคคอโรฟกคเคมอน
 specia1 bow1, specia1 bow1
spi burr),spi burr)
 ud.n(r), ud.n(r)
"ss dis ll_pork16b,","ss dis ll_pork16b,"
 beef bow1 set, beef bow1 set
bf}{r)-{om1,bf}{r)-{om1
miso  suup- con,miso  suup- con
sa lad- (om,sa lad- (om
lipton. com,lipton. com
minera1,minera1
later,later
ice 03. {)0,ice 03. {)0
pork,pork
 crispv salmon roll, crispv salmon roll
 pro, pro
salmon sashimi,salmon sashimi
pro,pro
foieuras sushi pr0,foieuras sushi pr0
crunchyunagifoiesush,crunchyunagifoiesush
 salmon foie roll  mem, salmon foie roll  mem
 hotate sashimi, hotate sashimi
ชาเขียวร้อน,ชาเขียวร้อน
ชาเขิยวเย็น,ชาเขิยวเย็น
ทอนจอบ,ทอนจอบ
ลาบปลานาโบง,ลาบปลานาโบง
ปลานาำโขงทอดกระเทนม,ปลานาำโขงทอดกระเทนม
หมูคาทวาน,หมูคาทวาน
ดัมบ้ายปลานำโขง (ใหญ่),ดัมบ้ายปลานำโขง (ใหญ่)
น้าอดลม (ใหญ่),น้าอดลม (ใหญ่)
น้ำแปง,น้ำแปง
ป้าวสาย,ป้าวสาย
ชาทอมมิกซ์เบอร์รีปันนุมชีส(_,ชาทอมมิกซ์เบอร์รีปันนุมชีส(_
 (shop) ความหวาน: หวานปกติ), (shop) ความหวาน: หวานปกติ)
down payment,down payment
|8806095373232| samsun6,|8806095373232| samsun6
9,9
 galaxy $24 ultra 12/51268, galaxy $24 ultra 12/51268
fiitanlum violet),fiitanlum violet)
 uvinvislble wth case, uvinvislble wth case
 magsafe for samsunc, magsafe for samsunc
 galaxy s24 ultra ics), galaxy s24 ultra ics)
8 x 1.00,8 x 1.00
apcs],apcs]
(8806095056354) sam4sunc,(8806095056354) sam4sunc
 roapter 2sw (black), roapter 2sw (black)
0.00 8 x 1.00 |pcs),0.00 8 x 1.00 |pcs)
 lot:, lot:
เมื่อจอง samsung galaxy s24,เมื่อจอง samsung galaxy s24
samsung galax/ $24,samsung galax/ $24
samsung:เซ็นทรัลเวิลด์,samsung:เซ็นทรัลเวิลด์
และ[010030002a|368,และ[010030002a|368
t ป็อกโกแลต_ปัน,t ป็อกโกแลต_ปัน
t milk tea say cheese,t milk tea say cheese
tหวานป้อย 50%,tหวานป้อย 50%
น้่ำต่มเพ็ถวไอฟ์ 6o0,น้่ำต่มเพ็ถวไอฟ์ 6o0
คอมเบ-โยเกิร์ต,คอมเบ-โยเกิร์ต
บุฟเฟต์,บุฟเฟต์
เลัดชีข่ารไก่,เลัดชีข่ารไก่
(tw)m สลัดทูนาครีม,(tw)m สลัดทูนาครีม
ซปน้ำดำ,ซปน้ำดำ
1 9,1 9
83-soya,83-soya
ice,ice
cream,cream
ง & พาเมชานชีสสตีก,ง & พาเมชานชีสสตีก
โลวนิลา,โลวนิลา
med wild berry jce,med wild berry jce
 orig k.w, orig k.w
 choc, choc
 orig al1 berry bang, orig al1 berry bang
horlick box {m),horlick box {m)
 chorolate s cake, chorolate s cake
red velvet cake mini,red velvet cake mini
lemon yogurt cake,lemon yogurt cake
white chocolate,white chocolate
 cheesecake, cheesecake
cafe latte,cafe latte
1 x (b.b)true roast,1 x (b.b)true roast
 lanespelare, lanespelare
mug,mug
hold,hold
 lanespelare, lanespelare
mug,mug
hold,hold
tisken,tisken
hook,hook
w.,w.
suctio,suctio
nvsk0l jd,nvsk0l jd
dish  drying,dish  drying
frakta,frakta
n.,n.
 carrier  bag, carrier  bag
 kati  sundae, kati  sundae
 banoffee toasty sundae, banoffee toasty sundae
all you can eat,all you can eat
 ผู้ใหญ่, ผู้ใหญ่
 #pro discount 5%, #pro discount 5%
for bbl,for bbl
 daifuku redbean(free), daifuku redbean(free)
 daifuku custard(free), daifuku custard(free)
 daifuku greentea(free), daifuku greentea(free)
ice cream-,ice cream-
 charcoal{free), charcoal{free)
ice cream rice,ice cream rice
 milk(free), milk(free)
ice cream-,ice cream-
 greentea(free), greentea(free)
 sherbet ume(free), sherbet ume(free)
 mix shabu suki, mix shabu suki
 kurobuta shoulder, kurobuta shoulder
 kurobuta loin, kurobuta loin
 aus. beef, aus. beef
 udon, udon
 chicken dumpling, chicken dumpling
duck,duck
 egg{free], egg{free]
sesame sauce{free),sesame sauce{free)
ponsu sauce(free),ponsu sauce(free)
 sweet shoyu, sweet shoyu
 sauce(free), sauce(free)
 nose tea signature, nose tea signature
ความหวาน : 50%,ความหวาน : 50%
as . 0c,as . 0c
hiyed,hiyed
zerrv,zerrv
e11ข้าวไร่ดอกข่าหมูกรอบ,e11ข้าวไร่ดอกข่าหมูกรอบ
ริpิ03สปาเก็ตตี้คาโป้นารา,ริpิ03สปาเก็ตตี้คาโป้นารา
aัด3ผักโขมอมชีส,aัด3ผักโขมอมชีส
สินจิสตอวิตอีรัดจสลาเค็ม,สินจิสตอวิตอีรัดจสลาเค็ม
ชาไทยเย็น,ชาไทยเย็น
water,water
1 g1/signatuae ch,1 g1/signatuae ch
>1 fon heae,>1 fon heae
1 g1/signatuae ch,1 g1/signatuae ch
>1 fon heae,>1 fon heae
 neptune gooml, neptune gooml
นมน้าตาลแดง,นมน้าตาลแดง
ไปมุกโมจิ,ไปมุกโมจิ
ระดับความหวาน;,ระดับความหวาน;
50%,50%
หวาน,หวาน
"480,00","480,00"
tart,tart
"300,00","300,00"
 cheese, cheese
 chou, chou
 (cup), (cup)
โรลานิลา,โรลานิลา
โรลกาแฟ,โรลกาแฟ
2 kati,2 kati
 sundae $  (099), sundae $  (099)
2 kati,2 kati
 sundae boat, sundae boat
(@169),(@169)
2 quart-sw card,2 quart-sw card
สลัดชีบารไก่,สลัดชีบารไก่
สลัดทูน่าครีม,สลัดทูน่าครีม
สุที่,สุที่
ผู่ใหญ่,ผู่ใหญ่
น้ำรีฟิลล์ฝูไหญ่,น้ำรีฟิลล์ฝูไหญ่
 อาบนากนนะ., อาบนากนนะ.
83-soya ice,83-soya ice
cream,cream
red honey,red honey
lime,lime
soda,soda
 orange  100&, orange  100&
cold,cold
pre  cup,pre  cup
(tw)m ทูนาครีม,(tw)m ทูนาครีม
tw)l ทูนาคริม,tw)l ทูนาคริม
(tw)l สลัดชีซารไก่,(tw)l สลัดชีซารไก่
orig strawb  squeeze,orig strawb  squeeze
a5,a5
1.14000003'29837,1.14000003'29837
di มี,di มี
เนสันทาวa5,เนสันทาวa5
2 3383548883284,2 3383548883284
3.3474370026729,3.3474370026729
3856602035530 ซองชิปตาข่ายซิลีโคน,3856602035530 ซองชิปตาข่ายซิลีโคน
bo2สมุดไนตรีมห่วง,bo2สมุดไนตรีมห่วง
 สมุตปกฺ่อ, สมุตปกฺ่อ
บ่ากกาสนคำผิดสีนำเงิน,บ่ากกาสนคำผิดสีนำเงิน
 nose tea signature, nose tea signature
ความทวาน,ความทวาน
70%,70%
blissful lxchee,blissful lxchee
 smootriie (n), smootriie (n)
ความหวาน,ความหวาน
70%,70%
 nose tea signature, nose tea signature
ความหวาน,ความหวาน
70%,70%
blissful lychee,blissful lychee
smootriie (n),smootriie (n)
ความหวาน ; 70%,ความหวาน ; 70%
"av,istenatune tn","av,istenatune tn"
b1 โฟว์ซีซั่นส์ สปริงแท้ original 4 seasons spring,b1 โฟว์ซีซั่นส์ สปริงแท้ original 4 seasons spring
 cheese tart, cheese tart
83-soya,83-soya
ice,ice
cream,cream
thai tea iced,thai tea iced
3 x 30% light sweet,3 x 30% light sweet
โรลนมสด,โรลนมสด
 ไวท์ & มิลค์ช็อคโกเค้ก, ไวท์ & มิลค์ช็อคโกเค้ก
ดับเปิลบลูเบอรรีเค้ก,ดับเปิลบลูเบอรรีเค้ก
บัดเตอร์ครีมวนิลาแยม (คู่,บัดเตอร์ครีมวนิลาแยม (คู่
บัตเดอร์ครีมเคก (คู),บัตเดอร์ครีมเคก (คู)
 มาร์เบิลโรลปอคโกแลด, มาร์เบิลโรลปอคโกแลด
บลูเบอร์รี่ปีสทาร์ต,บลูเบอร์รี่ปีสทาร์ต
ชาหอมมิกซ์เบอรรีปันปมชส(l,ชาหอมมิกซ์เบอรรีปันปมชส(l
" (shop), ความหวาน: หวานน้อย)"," (shop), ความหวาน: หวานน้อย)"
ฝชเชอร์แมผลกอม,ฝชเชอร์แมผลกอม
ฝิชเออร์แก้นยาอม,ฝิชเออร์แก้นยาอม
ม่าแร่มีเนเร่ 500,ม่าแร่มีเนเร่ 500
สเซอร์.กอา์ส.ค๊ากุ่ง,สเซอร์.กอา์ส.ค๊ากุ่ง
แร็งพังเกอร์,แร็งพังเกอร์
ยอคเอ,ยอคเอ
แสลมซ์,แสลมซ์
l.,l.
บาท 2566,บาท 2566
พุดดึ้งเฉาก๊วยนุ่ม,พุดดึ้งเฉาก๊วยนุ่ม
ชาชงดี slurpee,ชาชงดี slurpee
ความหวาน 75%,ความหวาน 75%
ชาชงร่วม shurpee,ชาชงร่วม shurpee
"""ลบาเก6|""""|43""","""ลบาเก6|""""|43"""
h.,h.
ชาหอมมิกซ์เบอร์รีปันนุ่มชีส(_,ชาหอมมิกซ์เบอร์รีปันนุ่มชีส(_
" (shop), ความหวาน: หวานปกติ)"," (shop), ความหวาน: หวานปกติ)"
s-k01 thai,s-k01 thai
tea,tea
 sbubb le, sbubb le
irig strawb  squeeze,irig strawb  squeeze
 original chou, original chou
ไม่รับหาอง/ก่วน/ส้ำ,ไม่รับหาอง/ก่วน/ส้ำ
หมากฝรังเสนท์แสเป,หมากฝรังเสนท์แสเป
ม่าาม.พ่ำาไฟ า50,ม่าาม.พ่ำาไฟ า50
ไอาม่า,ไอาม่า
ion  allb,ion  allb
kati,kati
 sundae, sundae
 banoffee toasty sundae, banoffee toasty sundae
สุกี มุฟเฟต มูไหญ่,สุกี มุฟเฟต มูไหญ่
มารีฟิลลัผูใหญ่,มารีฟิลลัผูใหญ่
น้ำมะนาวแช่เย็น fresh,น้ำมะนาวแช่เย็น fresh
 lemonade, lemonade
น้ำมะนาวแช่เย็น fresh,น้ำมะนาวแช่เย็น fresh
 lemonade, lemonade
ขำไก่ต่างฆ่าม,ขำไก่ต่างฆ่าม
ฟาเก่เพอร์ร่า,ฟาเก่เพอร์ร่า
รq0,รq0
li  ฟุหลลงหมึกต่ำงๆา,li  ฟุหลลงหมึกต่ำงๆา
บำวไก่เหอริยากิ,บำวไก่เหอริยากิ
แแมรรมาสาววาชชั้น,แแมรรมาสาววาชชั้น
.กรมเม่อว้าขวนงาก,.กรมเม่อว้าขวนงาก
ฝาลองเรยหริก,ฝาลองเรยหริก
เชคยป์,เชคยป์
1,1
บาท 2566,บาท 2566
3,3
บาท 2566,บาท 2566
51#-s,51#-s
 pepper  chicken burger, pepper  chicken burger
&,&
 nluggets apcs, nluggets apcs
plum nuต sauce,plum nuต sauce
 coke 12 oz., coke 12 oz.
pdouble choco,pdouble choco
 tea thai tea ice), tea thai tea ice)
 cafe latte(ice), cafe latte(ice)
cold brew,cold brew
italian soda(green apple),italian soda(green apple)
อาหาร เครืองดึม,อาหาร เครืองดึม
กุ้งแม่น้ำเผา,กุ้งแม่น้ำเผา
(ราคาตามน้ำหนักต่อก.ก.),(ราคาตามน้ำหนักต่อก.ก.)
แกงเขีขวหวาน ไก่,แกงเขีขวหวาน ไก่
บัวลอย,บัวลอย
ไอศครีม,ไอศครีม
เป็ปซี่ลิตร,เป็ปซี่ลิตร
น้ำเปล่า,น้ำเปล่า
 ปลากระพงเจี๋ยนน้ำแดง, ปลากระพงเจี๋ยนน้ำแดง
 ปลาช่อนน้ำตก, ปลาช่อนน้ำตก
 ปลาช่อนลานช้าง, ปลาช่อนลานช้าง
bv americano-8,bv americano-8
ob-16 fichocolate,ob-16 fichocolate
1.แมงกะพรนน้ำมันงา s,1.แมงกะพรนน้ำมันงา s
2.เด้าหู้ฝัดพริกเกลือ,2.เด้าหู้ฝัดพริกเกลือ
3.หอยจ้อ,3.หอยจ้อ
4. ปุรัสเปีย (ขีดละ),4. ปุรัสเปีย (ขีดละ)
ร.ปูออสเดรเลีย king crab ( ปิด.ละ),ร.ปูออสเดรเลีย king crab ( ปิด.ละ)
6.กุ้งมังกรชาบิม (ปึดละ),6.กุ้งมังกรชาบิม (ปึดละ)
7.แฮ่ก็น s,7.แฮ่ก็น s
8.ป็อกชอย ฝัดเต้าหู้ดำ$,8.ป็อกชอย ฝัดเต้าหู้ดำ$
9.ปลาใบขนุนทอดกระเทียม (ปิดละ),9.ปลาใบขนุนทอดกระเทียม (ปิดละ)
1o.หมั่นโถวจักรพรรดิ,1o.หมั่นโถวจักรพรรดิ
11. ฝัด:ฝักบุ้งไฟแดง,11. ฝัด:ฝักบุ้งไฟแดง
12.น้ำเปล่า,12.น้ำเปล่า
.น้ำแข็งถัง,.น้ำแข็งถัง
 14.sprite (can), 14.sprite (can)
1ร.ชาจีน(กา),1ร.ชาจีน(กา)
"""เวฬ""""สาตีไอท์""","""เวฬ""""สาตีไอท์"""
แมเปร่ำวบทำเก้แทร่,แมเปร่ำวบทำเก้แทร่
.งฬ็กจาสกึหสน่ำหรี,.งฬ็กจาสกึหสน่ำหรี
ม่าจัมนำทิทธ์ 1500,ม่าจัมนำทิทธ์ 1500
ไม่รับถง,ไม่รับถง
ทอหน่า mib,ทอหน่า mib
li-stanp บาท`,li-stanp บาท`
1gane#ะสมบาท30ไว้น,1gane#ะสมบาท30ไว้น
ทวปส์มะนาวโซจา,ทวปส์มะนาวโซจา
มมุงหมาร็ำขุนสมามิง,มมุงหมาร็ำขุนสมามิง
ตับเบ็าเซนวิชสครอว่,ตับเบ็าเซนวิชสครอว่
สไวดามอค์ไวตำแอ๊ส,สไวดามอค์ไวตำแอ๊ส
แมหาสนเมก็กึง,แมหาสนเมก็กึง
ชาฬ,ชาฬ
ร็อกโกแอตขอนโฉบอ,ร็อกโกแอตขอนโฉบอ
ii-stanp 'บาท),ii-stanp 'บาท)
.. mii,.. mii
 ไรameสะสมบาท30วัน, ไรameสะสมบาท30วัน
ค่าอาหารและเครื่องดื่ม,ค่าอาหารและเครื่องดื่ม
ข้าวเปล่า,ข้าวเปล่า
[5] ิน ววังช์แช่ข,[5] ิน ววังช์แช่ข
เป็ปชี่ ฟัlล,เป็ปชี่ ฟัlล
สลัดปลาแชลมอล,สลัดปลาแชลมอล
ผักคะน้า,ผักคะน้า
ผัดไทยกุ้งสด,ผัดไทยกุ้งสด
อกไก่พริกไทยดำ,อกไก่พริกไทยดำ
น้ำพริกกะปี+ปลาทู  ผักต้ม,น้ำพริกกะปี+ปลาทู  ผักต้ม
ชาเย็นนมสด,ชาเย็นนมสด
ข้าวผักกระเพราหมูสับไข่ดาว,ข้าวผักกระเพราหมูสับไข่ดาว
ข้าวผัดไข่ปู่,ข้าวผัดไข่ปู่
ผัดพริกแกงหมู,ผัดพริกแกงหมู
ส้มตำปูไทย,ส้มตำปูไทย
"ฝัดน้าำพรึกเผา กุ้ง, ปลาหมึก","ฝัดน้าำพรึกเผา กุ้ง, ปลาหมึก"
ไก่ขี้เหล้า,ไก่ขี้เหล้า
แทนมซ้โครง,แทนมซ้โครง
ileilber001 [999.-],ileilber001 [999.-]
เรึคงหร่าแรงมวน1,เรึคงหร่าแรงมวน1
เจาปอาสาอ,เจาปอาสาอ
สาศรางกระเทิธม,สาศรางกระเทิธม
เลวิง,เลวิง
เหรือเีน,เหรือเีน
565 00,565 00
coke,coke
 leo, leo
leo 3 ขวด,leo 3 ขวด
 รู้oda, รู้oda
นาแข็ง,นาแข็ง
แซลมอนชาซิม,แซลมอนชาซิม
ต้นหัวปลาแซลมอน,ต้นหัวปลาแซลมอน
ต้มปลาคัง,ต้มปลาคัง
ถัวทอด,ถัวทอด
ย่าตะไค้กุงลวก,ย่าตะไค้กุงลวก
ฝ่าืดภุงทaอทด7/ไเลวก,ฝ่าืดภุงทaอทด7/ไเลวก
สลัดหมูย่าง,สลัดหมูย่าง
 เอ็นไก่ทอด, เอ็นไก่ทอด
โรลกาแฟ,โรลกาแฟ
โรลวนิลา,โรลวนิลา
ซีส & พาเมชานซีสสติก,ซีส & พาเมชานซีสสติก
แชมปิญองริชมิลคครอกมูส,แชมปิญองริชมิลคครอกมูส
เอ็ม150,เอ็ม150
ซอสภูเขา,ซอสภูเขา
สมู่พฤกษา นกแก้ว,สมู่พฤกษา นกแก้ว
 แก้วเยติ, แก้วเยติ
 wed bbo pork boston, wed bbo pork boston
sizzler cheese toast,sizzler cheese toast
1,1
sizzler cheese toast 1,sizzler cheese toast 1
8ufal 349. 8an! )80340,8ufal 349. 8an! )80340
ฝา^ะใอร่,ฝา^ะใอร่
ุาาวันสันปรทาาา,ุาาวันสันปรทาาา
"ป่ายทบ้วยเกมอม@าร,","ป่ายทบ้วยเกมอม@าร,"
มุฟเฟต289,มุฟเฟต289
3 มฟเฟต289,3 มฟเฟต289
บุฟเฟต289,บุฟเฟต289
มฟเฟต289,มฟเฟต289
ฝูใหญ่,ฝูใหญ่
หม้อจิ้มฐุม,หม้อจิ้มฐุม
น้าดื่มคริสตัล,น้าดื่มคริสตัล
น้าแขงถัง,น้าแขงถัง
di osmo action mini extension rod,di osmo action mini extension rod
ค่าจัดส่ง shopee,ค่าจัดส่ง shopee
แบาแต์ปปไก่กรมกง่า,แบาแต์ปปไก่กรมกง่า
แซนวิซแฮมร์ส,แซนวิซแฮมร์ส
 tganeสะสมบาฺท30วัน, tganeสะสมบาฺท30วัน
daily parking fee,daily parking fee
เธนาิชเธมรีส,เธนาิชเธมรีส
เอ็นฮ้อโก่,เอ็นฮ้อโก่
 cockail 6 shcts, cockail 6 shcts
zaar,zaar
chang,chang
 mixer, mixer
ice,ice
beer,beer
 rose'e, rose'e
 hoegaarden, hoegaarden
 mixer, mixer
soda,soda
เฟรนฟซ์ฟรายส์,เฟรนฟซ์ฟรายส์
beer,beer
original,original
 hoegaarden, hoegaarden
alc.,alc.
 soju, soju
bear,bear
 chang classic, chang classic
t ชานม เย็น,t ชานม เย็น
 t หวานน้อย 50%, t หวานน้อย 50%
ค่าอาหารและเครื่องดื่ม,ค่าอาหารและเครื่องดื่ม
 sausa9u lal ge, sausa9u lal ge
ss hawafianl,ss hawafianl
 sausade, sausade
lar u,lar u
ss iawa1,ss iawa1
ฝอี เอสtาา,ฝอี เอสtาา
 americano (อเมริกาโน), americano (อเมริกาโน)
ix hot,ix hot
ร่อน,ร่อน
มันธ์มีปุ่นสี เหลือง,มันธ์มีปุ่นสี เหลือง
กก.ละ,กก.ละ
กอปูบนลเหลอง,กอปูบนลเหลอง
กก.ละ,กก.ละ
(tw)m ทูน่าครีม,(tw)m ทูน่าครีม
(tw)l ทูนาครีม,(tw)l ทูนาครีม
arc-01656-6 ซามก๊วยเตี่ยว  18 ชม. diwali structu,arc-01656-6 ซามก๊วยเตี่ยว  18 ชม. diwali structu
8u0-280181 (sp) เครื่องขดกาแม ดำ/สเตนเลส,8u0-280181 (sp) เครื่องขดกาแม ดำ/สเตนเลส
ศอลเกตผลักย5เก,ศอลเกตผลักย5เก
ศยลเกตผลักย์วิบ0,ศยลเกตผลักย์วิบ0
2 pra kati  sundae  boat  (0129),2 pra kati  sundae  boat  (0129)
ipile sieaker  iii so,ipile sieaker  iii so
 icthicken uii hed, icthicken uii hed
1 i french fries,1 i french fries
 3lk, 3lk
ู,ู
iced lemon tea 16,iced lemon tea 16
oz.,oz.
1 filet,1 filet
o fish iii hed,o fish iii hed
1 i french fries,1 i french fries
3ilk,3ilk
า,า
fanta strawberry 16,fanta strawberry 16
0z,0z
ปัน,ปัน
t อเมชอน,t อเมชอน
t หวานน้อย 50%,t หวานน้อย 50%
ปังหมูหยองนำสลัด free,ปังหมูหยองนำสลัด free
ปังหมูหยองนำสลัด,ปังหมูหยองนำสลัด
orig all berry bang,orig all berry bang
 สกีบฟเฟต่ ฝูไหญ่, สกีบฟเฟต่ ฝูไหญ่
